,answer_id,answer_text,question
0,1,"прикладные знания, умения и навыки"," понятия, которые связаны с будущей профессиональной деятельностью, обеспечивают безопасность в быту и при выполнении профессиональных видов работ, формируются в процессе активных занятий физической культурой и спортом:"
1,3,хорошее состояние вестибулярного аппарата, профессиональная деятельность в условиях ограниченной опоры предполагает
2,3,утром натощак и поздно вечером," по вашему мнению, когда не рекомендуется заниматься физическими упражнениями:"
3,1,упражнения с отягощениями," по вашему мнению, коррекции недостатков физического развития и телосложения наиболее способствуют:"
4,0,массовый спорт," составная часть спорта, основным содержанием которого является рациональное использование человеком двигательной деятельности в качестве фактора подготовки к жизненной практике, оптимизации своего физического состояния и развития – это:"
5,3,тренированность спортсмена," степень функционального приспособления организма, к предъявляемым тренировочным нагрузкам, формирующаяся в результате систематических физических упражнений и способствующая повышению работоспособности – это:"
6,3,функция социальной интеграции и социализации личности," функция спорта, которая раскрывается в вовлечении людей в общественную жизнь, приобщение к ней и формирование у занимающихся опыта социальных отношений,  – это:"
7,2,мозг," орган человека, содержащий больше всего воды"
8,3,2 – 3 часа," по вашему мнению, какой интервал времени после приема пищи следует выдержать перед занятием физическими упражнениями:"
9,0,оздоровительные силы природы и гигиенические факторы," для воспитания специальных прикладных качеств, обеспечивающих продуктивную работу в различных географо-климатических условиях используются:"
10,2,"процесс целенаправленной, сознательной планомерной работы над собой, ориентированный на формирование физической культуры личности", физическое самовоспитание ‑ это
11,3,"менее прочное строение костей, меньшее общее развитие мускулатуры, более широкий тазовый пояс и более мощная мускулатура тазового дна, чем у мужчин"," анатомо-физиологические особенности женского организма, которые необходимо учитывать при проведении самостоятельных занятий физическими упражнениями:"
12,3,прикладные физические качества," понятия, которые необходимы во многих видах профессиональной деятельности, позволяют успешно решать профессиональные задачи, связанные с преимущественным проявлением физических способностей в процессе самой трудовой деятельности:"
13,0,"уровень жизни, качество жизни, стиль жизни", какие категории включает в себя образ жизни человека:
14,3,"упражнения для всех групп мышц, упражнения на гибкость, дыхательные упражнения"," по вашему мнению, какие упражнения следует включать в комплекс утренней гигиенической гимнастики:"
15,0,углеводы," пищевые вещества, которые входят в состав почти всех клеток и тканей организма, выполняя строительную функцию, принимают участие в белковом обмене, способствуя синтезу аминокислот, и жировом обмене:"
16,1,спортивный клуб," внутривузовская общественная организация, координирующая учебно-тренировочную деятельность курсов спортивного совершенствования и участие спортсменов в студенческих соревнованиях – это:"
17,0,вредные привычки," курение табака, употребление алкогольных напитков и наркотиков – это:"
18,2,"воспитание волевых способностей, выдержки и самообладания, самостоятельности и инициативности, целеустремленности, решительности и смелости", основным содержанием психической подготовки является:
